"initial_alias","converted_alias","name","description","namespace"
"YML051W","P04387","GAL80","Transcriptional regulator involved in the repression of GAL genes; involved in the repression of GAL genes in the absence of galactose; inhibits transcriptional activation by Gal4p; inhibition relieved by Gal3p or Gal1p binding [Source:SGD;Acc:S000004515]","ENSG,ENSP"
"YAL005C","P10591","SSA1","ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils [Source:SGD;Acc:S000000004]","ENSG,ENSP"
"YHR132C","P38836","ECM14","Putative metalloprotease with similarity to zinc carboxypeptidases; required for normal cell wall assembly [Source:SGD;Acc:S000001174]","ENSG,ENSP"
"YML030W","Q03713","RCF1","Cytochrome c oxidase subunit; required for assembly of the Complex III-Complex IV supercomplex, and for assembly of Cox13p and Rcf2p into cytochrome c oxidase; similar to Rcf2p, and either Rcf1p or Rcf2p is required for late-stage assembly of the Cox12p and Cox13p subunits and for cytochrome c oxidase activity; required for growth under hypoxic conditions; member of the hypoxia induced gene family; C. elegans and human orthologs are functional in yeast [Source:SGD;Acc:S000004492]","ENSG,ENSP"
"YBR200W","P29366","BEM1","Protein containing SH3-domains; involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p [Source:SGD;Acc:S000000404]","ENSG,ENSP"
"YGL086W","P40957","MAD1","Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability [Source:SGD;Acc:S000003054]","ENSG,ENSP"
"YFL013C","P43579","IES1","Subunit of the INO80 chromatin remodeling complex; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000001881]","ENSG,ENSP"
"YKL194C","P07236","MST1","Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr [Source:SGD;Acc:S000001677]","ENSG,ENSP"
"YGR216C","P53306","GPI1","Membrane protein involved in the synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; human and mouse GPI1p are functional homologs [Source:SGD;Acc:S000003448]","ENSG,ENSP"
"YHR013C","P07347","ARD1","Subunit of protein N-terminal acetyltransferase NatA; NatA comprises Nat1p, Ard1p, Nat5p; acetylates many proteins to influence telomeric silencing, cell cycle, heat-shock resistance, mating, sporulation, early stages of mitophagy; protein abundance increases under DNA replication stress; mutations in human homolog X-linked NAA10 lead to Ogden syndrome (S37P) and intellectual disability (R116W); expression of human NAA10 and NAA15 can complement ard1 nat1 double mutant [Source:SGD;Acc:S000001055]","ENSG,ENSP"
"YKR005C","Q02203","YKR005C","Putative protein of unknown function [Source:SGD;Acc:S000001713]","ENSG,ENSP"
"YNR040W","P53736","YNR040W","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000005323]","ENSG,ENSP"
"YHR084W","P13574","STE12","Transcription factor that is activated by a MAPK signaling cascade; activates genes involved in mating or pseudohyphal/invasive growth pathways; cooperates with Tec1p transcription factor to regulate genes specific for invasive growth [Source:SGD;Acc:S000001126]","ENSG,ENSP"
"YEL066W","None","None","None",""
"YDR258C","P33416","HSP78","Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666]","ENSG,ENSP"
"YAL024C","P07866","LTE1","Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures [Source:SGD;Acc:S000000022]","ENSG,ENSP"
"YDL090C","P22007","RAM1","Beta subunit of the CAAX farnesyltransferase (FTase); this complex prenylates the a-factor mating pheromone and Ras proteins; required for the membrane localization of Ras proteins and a-factor; homolog of the mammalian FTase beta subunit [Source:SGD;Acc:S000002248]","ENSG,ENSP"
"YBR184W","P38299","YBR184W","Putative protein of unknown function; YBR184W is not an essential gene [Source:SGD;Acc:S000000388]","ENSG,ENSP"
"YBL024W","P38205","NCL1","S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide, causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120 [Source:SGD;Acc:S000000120]","ENSG,ENSP"
"YKL042W","P36094","SPC42","Central plaque component of spindle pole body (SPB); involved in SPB duplication, may facilitate attachment of the SPB to the nuclear membrane [Source:SGD;Acc:S000001525]","ENSG,ENSP"
"YDR177W","P21734","UBC1","Ubiquitin-conjugating enzyme; key E2 partner with Ubc4p for the anaphase-promoting complex (APC); mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response; protein abundance increases in response to DNA replication stress key E2 partner with Ubc4p for the anaphase-promoting complex (APC) [Source:SGD;Acc:S000002584]","ENSG,ENSP"
"YER095W","P25454","RAD51","Strand exchange protein; forms a helical filament with DNA that searches for homology; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; homolog of Dmc1p and bacterial RecA protein [Source:SGD;Acc:S000000897]","ENSG,ENSP"
"YDR516C","Q04409","EMI2","Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1; required for sporulation; expression regulated by glucose-repression transcription factors Mig1/2p; EMI2 has a paralog, GLK1, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002924]","ENSG,ENSP"
"YNL306W","P42847","MRPS18","Mitochondrial ribosomal protein of the small subunit; essential for viability, unlike most other mitoribosomal proteins [Source:SGD;Acc:S000005250]","ENSG,ENSP"
"YPL006W","Q12200","NCR1","Vacuolar membrane protein; transits through the biosynthetic vacuolar protein sorting pathway, involved in sphingolipid metabolism; cells lacking Ncr1p exhibit high levels of long chain bases (LCB), similar to the accumulation of high amounts of lipids observed in patients with Neimann-Pick C, a disease caused by loss-of-function mutations in NPC1, the functional ortholog of Ncr1p [Source:SGD;Acc:S000005927]","ENSG,ENSP"
"YCR106W","P25611","RDS1","Putative zinc cluster transcription factor; involved in conferring resistance to cycloheximide [Source:SGD;Acc:S000000703]","ENSG,ENSP"
"YPL023C","P46151","MET12","Protein with MTHFR activity in vitro; null mutant has no phenotype and is prototrophic for methionine; MET13 encodes major isozyme of methylenetetrahydrofolate reductase (MTHFR) [Source:SGD;Acc:S000005944]","ENSG,ENSP"
"YLR173W","Q06247","YLR173W","Putative protein of unknown function [Source:SGD;Acc:S000004163]","ENSG,ENSP"
"YDR285W","P31111","ZIP1","Transverse filament protein of the synaptonemal complex; required for normal levels of meiotic recombination and pairing between homologous chromosome during meiosis; required for meiotic recombination between non-allelc sites; potential Cdc28p substrate [Source:SGD;Acc:S000002693]","ENSG,ENSP"
"YDR322C-A","P81449","TIM11","Subunit e of mitochondrial F1F0-ATPase; ATPase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; essential for the dimeric and oligomeric state of ATP synthase, which in turn determines the shape of inner membrane cristae [Source:SGD;Acc:S000007255]","ENSG,ENSP"
"YOL061W","Q12265","PRS5","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; forms cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000005422]","ENSG,ENSP"
"YBL031W","P38200","SHE1","Mitotic spindle protein; interacts with components of the Dam1 (DASH) complex, its effector Sli15p, and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure; inhibits dynein function [Source:SGD;Acc:S000000127]","ENSG,ENSP"
